controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,0,0.0100,0,-5.6802511,0.1027060,1.4379895,-5.6802511,0.1027060,1.4379895,0.0000000,0.16424,0.627889
PD + BRT,1,0.0200,1,-5.5098438,0.0996248,1.3948498,-5.5917139,0.5141706,0.9403511,0.6205803,0.62917,0.627602
PD + BRT,2,0.0300,1,-5.3409567,0.0841792,1.3663518,-0.9599415,3.8980262,-2.8241460,7.1623316,1.21287,0.627045
PD + BRT,3,0.0400,1,-5.3099155,-0.0328847,1.4506035,2.2579465,3.4462471,-2.2450721,9.1123495,1.66914,0.626506
PD + BRT,4,0.0500,1,-5.3752408,-0.1371737,1.5180525,1.2996403,0.8843376,0.2237178,6.8755231,1.94012,0.626131
PD + BRT,5,0.0600,0,-5.4122930,-0.1652857,1.5118856,-5.4122930,-0.1652857,1.5118856,0.0000000,2.23572,0.625827
PD + BRT,6,0.0700,1,-5.2482667,-0.1620700,1.4670240,3.7454519,1.5972278,-0.2981461,9.3326273,2.46402,0.625249
PD + BRT,7,0.0800,1,-5.3579073,-0.2116790,1.4761559,-5.0183578,-0.1757253,1.4027829,0.3492422,2.61496,0.624873
PD + BRT,8,0.0900,1,-5.2054086,-0.2084021,1.4343176,1.6923989,1.1586279,-0.1224275,7.2022200,2.73442,0.624244
PD + BRT,9,0.1000,1,-5.2532501,-0.2451007,1.4379525,-2.6864901,0.1771917,0.7879568,2.6812465,2.76338,0.623712
PD + BRT,10,0.1100,1,-5.1700921,-0.2525685,1.4143007,-1.1014397,0.5092826,0.3396600,4.2765875,2.77512,0.623050
PD + BRT,11,0.1200,1,-5.1339736,-0.2700131,1.4039406,-1.8162729,0.3343127,0.4714628,3.4988375,2.74906,0.622341
PD + BRT,12,0.1300,1,-5.0762205,-0.2822888,1.3895600,-1.6565146,0.3420990,0.3896565,3.6171889,2.70318,0.621549
PD + BRT,13,0.1400,1,-5.0229297,-0.2948423,1.3775413,-1.6330723,0.3143334,0.3506073,3.5939980,2.63760,0.620682
