controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PPO + BRT,0,0.0100,0,-0.4053956,0.2059470,0.1515985,-0.4053956,0.2059470,0.1515985,0.0000000,0.01191,0.627889
PPO + BRT,1,0.0200,0,-0.4202016,0.1773348,0.1499160,-0.4202016,0.1773348,0.1499160,0.0000000,0.04619,0.627870
PPO + BRT,2,0.0300,0,-0.4298277,0.1513130,0.1479938,-0.4298277,0.1513130,0.1479938,0.0000000,0.10017,0.627830
PPO + BRT,3,0.0400,0,-0.4345839,0.1285299,0.1461220,-0.4345839,0.1285299,0.1461220,0.0000000,0.17038,0.627770
PPO + BRT,4,0.0500,0,-0.4353292,0.1093830,0.1445326,-0.4353292,0.1093830,0.1445326,0.0000000,0.25277,0.627690
PPO + BRT,5,0.0600,0,-0.4330837,0.0940613,0.1434615,-0.4330837,0.0940613,0.1434615,0.0000000,0.34297,0.627589
PPO + BRT,6,0.0700,0,-0.4288758,0.0825292,0.1431249,-0.4288758,0.0825292,0.1431249,0.0000000,0.43653,0.627467
PPO + BRT,7,0.0800,0,-0.4236706,0.0745440,0.1436455,-0.4236706,0.0745440,0.1436455,0.0000000,0.52916,0.627325
PPO + BRT,8,0.0900,0,-0.4182833,0.0697289,0.1450045,-0.4182833,0.0697289,0.1450045,0.0000000,0.61689,0.627164
PPO + BRT,9,0.1000,0,-0.4132764,0.0676752,0.1470523,-0.4132764,0.0676752,0.1470523,0.0000000,0.69629,0.626983
PPO + BRT,10,0.1100,0,-0.4088787,0.0680330,0.1495718,-0.4088787,0.0680330,0.1495718,0.0000000,0.76450,0.626783
PPO + BRT,11,0.1200,0,-0.4049656,0.0705615,0.1523512,-0.4049656,0.0705615,0.1523512,0.0000000,0.81938,0.626565
PPO + BRT,12,0.1300,0,-0.4011335,0.0751213,0.1552292,-0.4011335,0.0751213,0.1552292,0.0000000,0.85943,0.626328
PPO + BRT,13,0.1400,0,-0.3968656,0.0816202,0.1580896,-0.3968656,0.0816202,0.1580896,0.0000000,0.88385,0.626073
PPO + BRT,14,0.1500,0,-0.3917329,0.0899305,0.1608250,-0.3917329,0.0899305,0.1608250,0.0000000,0.89243,0.625801
PPO + BRT,15,0.1600,0,-0.3855492,0.0998130,0.1633068,-0.3855492,0.0998130,0.1633068,0.0000000,0.88553,0.625512
PPO + BRT,16,0.1700,0,-0.3784359,0.1108702,0.1653865,-0.3784359,0.1108702,0.1653865,0.0000000,0.86401,0.625206
PPO + BRT,17,0.1800,0,-0.3707982,0.1225449,0.1669266,-0.3707982,0.1225449,0.1669266,0.0000000,0.82918,0.624885
PPO + BRT,18,0.1900,0,-0.3632422,0.1341664,0.1678368,-0.3632422,0.1341664,0.1678368,0.0000000,0.78272,0.624547
PPO + BRT,19,0.2000,0,-0.3564587,0.1450288,0.1680938,-0.3564587,0.1450288,0.1680938,0.0000000,0.72670,0.624196
PPO + BRT,20,0.2100,0,-0.3511016,0.1544796,0.1677377,-0.3511016,0.1544796,0.1677377,0.0000000,0.66343,0.623830
PPO + BRT,21,0.2200,0,-0.3476883,0.1619913,0.1668471,-0.3476883,0.1619913,0.1668471,0.0000000,0.59545,0.623450
PPO + BRT,22,0.2300,0,-0.3465425,0.1671993,0.1655083,-0.3465425,0.1671993,0.1655083,0.0000000,0.52543,0.623057
PPO + BRT,23,0.2400,0,-0.3477873,0.1699085,0.1637905,-0.3477873,0.1699085,0.1637905,0.0000000,0.45609,0.622650
PPO + BRT,24,0.2500,0,-0.3513649,0.1700742,0.1617321,-0.3513649,0.1700742,0.1617321,0.0000000,0.39006,0.622231
PPO + BRT,25,0.2600,0,-0.3570651,0.1677777,0.1593432,-0.3570651,0.1677777,0.1593432,0.0000000,0.32985,0.621798
PPO + BRT,26,0.2700,0,-0.3645421,0.1632046,0.1566174,-0.3645421,0.1632046,0.1566174,0.0000000,0.27767,0.621352
PPO + BRT,27,0.2800,0,-0.3733170,0.1566308,0.1535514,-0.3733170,0.1566308,0.1535514,0.0000000,0.23539,0.620893
PPO + BRT,28,0.2900,0,-0.3827802,0.1484112,0.1501670,-0.3827802,0.1484112,0.1501670,0.0000000,0.20426,0.620420
PPO + BRT,29,0.3000,0,-0.3922164,0.1389632,0.1465303,-0.3922164,0.1389632,0.1465303,0.0000000,0.18486,0.619933
PPO + BRT,30,0.3100,0,-0.4008705,0.1287442,0.1427616,-0.4008705,0.1287442,0.1427616,0.0000000,0.17698,0.619431
